"Season","TeamName","Off_1","RankOff_1","Off_2","RankOff_2","Off_3","RankOff_3","Def_1","RankDef_1","Def_2","RankDef_2","Def_3","RankDef_3"
2025,"Abilene Christian",22.2562531904033,31,59.5201633486473,4,18.2235834609495,362,25.6559766763848,2,51.3119533527697,109,23.0320699708455,360
2025,"Air Force",18.3148335015136,223,42.4823410696266,349,39.2028254288597,19,18.4980907933814,217,52.1001272804412,82,29.4017819261773,268
2025,"Akron",15.3330852251582,342,46.594715295869,277,38.0721994789728,40,19.8847262247839,130,50.7204610951009,131,29.3948126801153,269
2025,"Alabama",20.3192550714998,101,45.360824742268,304,34.3199201862321,103,19.9478972832155,124,52.9214737625605,57,27.130628954224,328
2025,"Alabama A&M",22.1890547263682,36,44.6766169154229,326,33.134328358209,127,23.1765213638325,20,45.7488131204143,312,31.0746655157531,192
2025,"Alabama St.",18.1360201511335,234,45.088161209068,311,36.7758186397985,57,21.195652173913,57,47.8260869565217,255,30.9782608695652,200
2025,"Albany",17.7992108724244,255,53.6606751424814,63,28.5401139850943,263,19.0681622088007,172,53.4943917169974,42,27.4374460742019,322
2025,"Alcorn St.",19.1604938271605,163,56.0987654320988,20,24.7407407407407,337,17.6391982182628,268,46.4142538975501,293,35.9465478841871,36
2025,"American",17.7449168207024,259,44.8243992606285,318,37.4306839186691,46,18.4947223497017,218,53.4189995410739,44,28.0862781092244,310
2025,"Appalachian St.",18.8056574122577,189,46.9355683603981,263,34.2587742273442,104,15.2162306460224,342,51.7885744794447,95,32.9951948745328,118
2025,"Arizona",21.3386110111551,63,53.6164087801367,65,25.0449802087082,331,17.6613885505481,266,46.5286236297199,290,35.809987819732,41
2025,"Arizona St.",20.1606086221471,111,44.2096365173288,331,35.6297548605241,73,18.9211279117286,183,49.2031058438905,208,31.8757662443809,156
2025,"Arkansas",19.8180379746835,129,52.2943037974684,94,27.8876582278481,287,18.1005110732538,243,49.8296422487223,172,32.0698466780239,154
2025,"Arkansas Pine Bluff",16.1641127039051,319,54.4735541275334,46,29.3623331685615,236,20.0080515297907,120,45.8132045088567,311,34.1787439613527,83
2025,"Arkansas St.",20.2394747006566,104,45.3456933178834,307,34.41483198146,97,22.4086021505376,33,50.752688172043,127,26.8387096774194,335
2025,"Army",15.0770712909441,346,52.4084778420039,86,32.514450867052,149,14.9977548271217,346,50.381679389313,149,34.6205657835653,69
2025,"Auburn",18.2146729309722,226,48.933863389953,195,32.8514636790748,138,23.8572050500653,12,50.9360034828037,121,25.206791467131,350
2025,"Austin Peay",17.4793008279669,274,47.7460901563937,235,34.7746090156394,90,19.6512122501063,143,49.8511271799234,171,30.4976605699702,222
2025,"BYU",15.6811377245509,332,44.685628742515,323,39.6332335329341,18,17.058572039333,292,44.97648567764,325,37.9649422830269,15
2025,"Ball St.",23.3301064859632,15,47.918683446273,231,28.7512100677638,255,17.702895111533,263,52.3967726625534,69,29.9003322259136,244
2025,"Baylor",18.3360927152318,220,48.5099337748344,214,33.1539735099338,126,18.6182144459399,204,46.9268730372364,282,34.4549125168237,74
2025,"Bellarmine",15.8969372873116,323,47.9338842975207,230,36.1691784151677,68,18.6174724342663,205,42.5784563189143,354,38.8040712468193,9
2025,"Belmont",14.4950495049505,351,45.7029702970297,298,39.8019801980198,16,15.3721024806832,338,48.6376575843839,230,35.9902399349329,34
2025,"Bethune Cookman",20.4415011037528,98,52.80353200883,78,26.7549668874172,309,19.4036119277614,153,51.994960100798,86,28.6014279714406,294
2025,"Binghamton",18.6023127199598,204,51.0809451985923,128,30.316742081448,213,18.8563327032136,189,49.8109640831758,174,31.3327032136106,175
2025,"Boise St.",22.6492232215863,24,47.4243663123467,252,29.926410466067,223,17.8358551123338,256,51.3525905547914,106,30.8115543328748,209
2025,"Boston College",18.7901008249313,191,52.8872593950504,75,28.3226397800183,267,20.3916560238399,96,50.4895700297999,140,29.1187739463602,277
2025,"Boston University",17.002457002457,293,48.6486486486486,209,34.3488943488943,101,18.5727788279773,211,47.5425330812854,266,33.8846880907372,91
2025,"Bowling Green",20.5282669138091,92,47.6367006487488,243,31.8350324374421,167,18.2220256523662,236,49.0048651039363,218,32.7731092436975,125
2025,"Bradley",17.7644710578842,257,45.8283433133733,295,36.4071856287425,65,21.1488250652742,60,44.3864229765013,334,34.4647519582245,73
2025,"Brown",14.7408207343413,349,51.7278617710583,110,33.5313174946004,114,17.3773987206823,277,51.5991471215352,100,31.0234541577825,197
2025,"Bryant",17.6447726389429,267,54.2557326078508,52,28.0994947532064,274,18.4486373165618,221,51.7400419287212,97,29.811320754717,253
2025,"Bucknell",18.4609087187884,214,48.6287351616864,211,32.9103561195252,135,19.4283347141674,151,46.6445733222867,288,33.927091963546,90
2025,"Buffalo",18.9798921039725,177,47.7685139774399,234,33.2515939185875,123,17.2093023255814,287,52.8541226215645,59,29.9365750528541,242
2025,"Butler",20.6811653672548,84,45.7119409109561,297,33.6068937217891,113,13.5057471264368,359,56.3218390804598,11,30.1724137931034,235
2025,"CSUN",20.2087682672234,107,54.8643006263048,39,24.9269311064718,332,25.7555254848895,1,33.9197113216058,363,40.3247631935047,4
2025,"Cal Baptist",18.9035087719298,183,53.0701754385965,72,28.0263157894737,277,18.5631414547077,212,56.1356537260152,12,25.3012048192771,349
2025,"Cal Poly",15.7534246575342,330,41.7447728911319,353,42.5018024513338,4,18.7654320987654,193,49.8059964726631,175,31.4285714285714,172
2025,"Cal St. Bakersfield",21.6606498194946,50,52.6173285198556,80,25.7220216606498,320,24.4635193133047,8,44.6351931330472,330,30.9012875536481,205
2025,"Cal St. Fullerton",24.6524064171123,4,51.7647058823529,108,23.5828877005348,350,19.1101694915254,169,45.1694915254237,322,35.7203389830508,44
2025,"California",23.2558139534884,16,48.1154771451484,222,28.6287089013633,259,18.6266771902131,202,52.9597474348856,55,28.4135753749013,300
2025,"Campbell",18.4808901790034,213,48.8630865989357,197,32.656023222061,144,16.6826923076923,309,56.0576923076923,13,27.2596153846154,324
2025,"Canisius",14.7410358565737,348,47.3107569721116,255,37.9482071713147,42,17.3574066475174,282,50.3898235535494,147,32.2527697989331,143
2025,"Central Arkansas",17.946302402261,247,45.3132359868111,308,36.7404616109279,58,12.6016260162602,362,40.8130081300813,359,46.5853658536585,2
2025,"Central Connecticut",15.6085918854415,333,56.6109785202864,14,27.7804295942721,291,11.9387216059165,363,52.4035921817221,68,35.6576862123613,45
2025,"Central Michigan",20.8460754332314,80,54.230377166157,53,24.9235474006116,333,17.1812749003984,288,45.9163346613546,309,36.902390438247,25
2025,"Charleston",19.0224032586558,175,47.9837067209776,228,32.9938900203666,130,15.8495350803043,327,52.0710059171598,84,32.0794590025359,153
2025,"Charleston Southern",23.0038022813688,19,46.4828897338403,281,30.5133079847909,205,17.8510998307953,255,60.3214890016921,1,21.8274111675127,364
2025,"Charlotte",24.9443207126949,1,45.5233853006682,301,29.532293986637,232,19.0496040016674,174,55.1896623593164,21,25.7607336390163,346
2025,"Chattanooga",17.6470588235294,265,45.8247634718223,296,36.5281777046483,61,18.7582562747688,194,46.7635402906209,284,34.4782034346103,72
2025,"Chicago St.",17.5412293853073,270,47.6761619190405,239,34.7826086956522,89,19.539316918189,147,49.4837172359015,191,30.9769658459095,201
2025,"Cincinnati",13.3161512027491,361,55.4982817869416,29,31.1855670103093,191,15.8598432457354,326,54.6795758414016,26,29.4605809128631,263
2025,"Clemson",16.7526796347757,301,50.0198491464867,165,33.2274712187376,124,16.3820950622981,319,52.0535302261191,85,31.5643747115828,163
2025,"Cleveland St.",18.4902054467272,212,55.1361681796464,33,26.3736263736264,315,20.956607495069,72,46.3510848126233,297,32.6923076923077,127
2025,"Coastal Carolina",19.4542698332491,151,47.1955533097524,257,33.3501768569985,118,21.7551963048499,42,49.6997690531178,179,28.5450346420323,296
2025,"Colgate",13.2224168126095,362,50.5253940455341,154,36.2521891418564,66,14.402407566638,352,49.6130696474635,182,35.9845227858985,35
2025,"Colorado",21.3294068153134,64,50.6520824568784,149,28.0185107278082,280,19.8353909465021,134,47.8189300411523,256,32.3456790123457,138
2025,"Colorado St.",18.0609851446443,237,47.3807662236122,253,34.4800625488663,95,19.1144234984656,168,49.4519947391495,194,31.4335817623849,170
2025,"Columbia",16.9174883238194,296,51.790347690711,107,31.2921639854696,189,14.1509433962264,356,48.4607745779543,236,37.3882820258193,19
2025,"Connecticut",17.8935003915427,251,48.6296006264683,210,33.476898981989,116,23.2071269487751,18,48.195991091314,243,28.5968819599109,295
2025,"Coppin St.",21.9224283305228,43,53.2883642495784,69,24.7892074198988,336,19.372197309417,156,49.9551569506726,168,30.6726457399103,215
2025,"Cornell",15.6819191470458,331,45.1354953354065,310,39.1825855175478,20,17.3647058823529,279,50.4470588235294,143,32.1882352941176,149
2025,"Creighton",15.7544956997654,329,46.5989053948397,276,37.6465989053948,45,11.3790186125212,364,56.0067681895093,14,32.6142131979695,131
2025,"Dartmouth",18.4551581130119,215,43.1311560393987,343,38.4136858475894,36,14.1810570381999,355,55.9916274201988,15,29.8273155416013,250
2025,"Davidson",17.2668112798265,285,48.763557483731,201,33.9696312364425,107,15.8285964145168,329,50.19676432007,159,33.9746392654132,89
2025,"Dayton",21.3733905579399,62,46.4377682403433,282,32.1888412017167,158,18.5185185185185,215,48.2853223593964,240,33.196159122085,114
2025,"DePaul",15.5287260616153,335,45.8784346378018,292,38.5928393005828,33,16.49652919559,314,53.7362188648428,38,29.7672519395672,255
2025,"Delaware",17.4712643678161,275,48.735632183908,205,33.7931034482759,110,18.864400448263,187,53.1191632424356,49,28.0164363093015,311
2025,"Delaware St.",21.2244897959184,69,61.0204081632653,2,17.7551020408163,363,21.6348507097406,45,48.2623592755751,241,30.1027900146843,238
2025,"Denver",18.8818048062776,184,51.397743992153,120,29.7204512015694,228,25.1220594762539,5,48.1136262760763,245,26.7643142476698,336
2025,"Detroit Mercy",18.8807785888078,185,55.8637469586375,24,25.2554744525547,328,21.8434343434343,41,42.4242424242424,355,35.7323232323232,43
2025,"Drake",22.018779342723,40,49.9530516431925,168,28.0281690140845,276,19.9784017278618,122,51.1879049676026,113,28.8336933045356,287
2025,"Drexel",13.9200718455321,356,53.8841490794791,60,32.1957790749888,157,16.913123844732,301,53.9741219963031,34,29.1127541589649,278
2025,"Duke",17.9943100995733,241,45.3058321479374,309,36.6998577524893,59,16.9596199524941,297,50.2612826603325,153,32.7790973871734,124
2025,"Duquesne",16.2340726757905,317,46.8145351580934,268,36.9513921661161,55,22.1327014218009,38,47.8672985781991,254,30,240
2025,"East Carolina",20.958605664488,77,52.1132897603486,96,26.9281045751634,305,18.3326058489742,229,49.5853339153208,185,32.0820602357049,152
2025,"East Tennessee St.",18.0251513740102,240,46.4834653004192,280,35.4913833255706,74,18.6356895699456,200,47.256549678695,269,34.1077607513594,87
2025,"East Texas A&M",15.4887218045113,340,45.4135338345865,302,39.0977443609023,23,19.0004308487721,178,51.7880224041362,96,29.2115467470918,275
2025,"Eastern Illinois",20.5733558178752,90,53.9629005059022,56,25.4637436762226,324,21.6573462125064,44,42.8063040162684,352,35.5363497712252,48
2025,"Eastern Kentucky",16.8191721132898,297,46.1873638344227,287,36.9934640522876,54,17.6987263943786,264,51.207729468599,112,31.0935441370224,189
2025,"Eastern Michigan",18.9700704225352,178,50,166,31.0299295774648,193,21.0790464240903,64,46.6750313676286,287,32.2459222082811,144
2025,"Eastern Washington",19.0704360325827,172,52.0364159080019,98,28.8931480594154,249,21.1446046308432,62,48.0559196155526,249,30.7994757536042,210
2025,"Elon",22.6379794200187,25,45.6501403180543,299,31.711880261927,175,15.515610217597,335,46.7360454115421,285,37.7483443708609,18
2025,"Evansville",18.3440753594447,219,51.165096678235,126,30.4908279623203,208,20.2800361336947,108,43.2700993676603,347,36.449864498645,32
2025,"FIU",21.5676959619952,55,56.3420427553444,18,22.0902612826603,358,20.9549071618037,73,48.8063660477454,224,30.2387267904509,234
2025,"Fairfield",16.7311411992263,303,50.7736943907157,144,32.495164410058,150,18.2017543859649,237,51.4035087719298,105,30.3947368421053,229
2025,"Fairleigh Dickinson",18.9687795648061,179,47.9659413434248,229,33.0652790917692,128,18.6015239802779,207,55.311519497983,19,26.0869565217391,342
2025,"Florida",17.5275482093664,272,47.6584022038568,241,34.8140495867769,88,20.4757858963466,90,50.4672897196262,141,29.0569243840272,280
2025,"Florida A&M",20.5513784461153,91,42.6065162907268,348,36.8421052631579,56,21.2409420289855,55,50.0905797101449,164,28.6684782608696,293
2025,"Florida Atlantic",17.9271708683473,249,49.5398159263706,184,32.5330132052821,148,19.9260476581758,128,48.6442070665571,229,31.429745275267,171
2025,"Florida Gulf Coast",12.9348795718109,364,53.8804638715433,61,33.1846565566459,125,17.273146015661,283,44.8641179180101,327,37.8627360663289,17
2025,"Florida St.",21.779269827948,46,53.545950482585,67,24.6747796894671,340,21.9922380336352,39,45.5368693402329,317,32.470892626132,134
2025,"Fordham",19.6086771586559,139,47.4691620586984,250,32.9221607826457,132,20.9394904458599,74,53.7420382165605,37,25.3184713375796,348
2025,"Fresno St.",21.4412024756852,58,50.3094606542882,157,28.2493368700265,270,13.5553834237026,358,51.1231603408211,117,35.3214562354764,50
2025,"Furman",18.7012987012987,198,39.2207792207792,362,42.0779220779221,5,17.8262846748522,257,50.3865393360618,148,31.7871759890859,158
2025,"Gardner Webb",19.4578049846961,150,55.094009619589,35,25.4481853957149,325,20.148637489678,114,51.6102394715112,99,28.2411230388109,303
2025,"George Mason",22.4578104716573,26,48.9831241886629,194,28.5590653396798,262,19.933237958989,127,43.2999523128278,346,36.7668097281831,30
2025,"George Washington",22.0360824742268,39,47.5945017182131,244,30.2835051546392,216,16.7279411764706,307,51.5625,102,31.7095588235294,161
2025,"Georgetown",15.2638464893153,344,54.7754034016572,42,29.9607501090275,221,18.346957311535,228,48.4105358764759,239,33.2425068119891,112
2025,"Georgia",21.3813068651778,61,50.9511993382961,135,27.6674937965261,295,19.2064923354373,161,48.6023444544635,231,32.1911632100992,148
2025,"Georgia Southern",14.5569620253165,350,46.8354430379747,267,38.6075949367089,32,23.5221674876847,15,46.7980295566502,283,29.679802955665,258
2025,"Georgia St.",18.7104930467762,197,53.6030341340076,66,27.6864728192162,293,15.6535558204211,333,50.1390544298768,160,34.207389749702,79
2025,"Georgia Tech",17.513424204874,273,52.1272201569599,95,30.359355638166,210,17.5313807531381,273,46.9456066945607,279,35.5230125523013,49
2025,"Gonzaga",18.1532004197272,232,56.4533053515215,17,25.3934942287513,326,17.9721496953873,249,50.3046127067015,151,31.7232375979112,160
2025,"Grambling St.",21.2819228843265,65,50.7761642463696,143,27.941912869304,285,19.1806331471136,164,49.5344506517691,188,31.2849162011173,179
2025,"Grand Canyon",23.9649681528662,9,52.3885350318471,87,23.6464968152866,349,20.0089726334679,119,51.861821444594,91,28.1292059219381,308
2025,"Green Bay",22.1965851407476,35,42.9164743885556,346,34.8869404706968,83,18.1745396317054,239,48.9191353082466,221,32.906325060048,120
2025,"Hampton",18.3996166746526,217,50.9822712026833,134,30.6181121226641,201,22.9392369288742,24,50.2119642016015,157,26.8487988695243,334
2025,"Harvard",15.7568936409679,328,52.335396736072,91,31.90770962296,165,15.1595744680851,343,55,24,29.8404255319149,249
2025,"Hawaii",22.6865671641791,23,50.7462686567164,146,26.5671641791045,312,20.2015355086372,111,52.3032629558541,73,27.4952015355086,321
2025,"High Point",20.3059273422562,102,49.4072657743786,185,30.2868068833652,215,20.691182986265,80,50.5981391227293,132,28.7106778910058,290
2025,"Hofstra",15.5077538769385,339,48.024012006003,226,36.4682341170585,62,22.4299065420561,32,42.8922774225283,350,34.6778160354156,67
2025,"Holy Cross",13.0286825473991,363,46.8643655809431,266,40.1069518716578,11,14.0144665461121,357,54.5207956600362,27,31.4647377938517,167
2025,"Houston",16.5279429250892,311,50.8917954815696,138,32.5802615933413,146,21.2273641851107,56,43.7625754527163,341,35.010060362173,62
2025,"Houston Christian",17.6197836166924,269,46.3678516228748,285,36.0123647604328,69,16.4043872198379,318,59.1320934668574,2,24.4635193133047,354
2025,"Howard",20.226843100189,106,48.2986767485822,218,31.4744801512287,183,23.1858407079646,19,51.858407079646,92,24.9557522123894,351
2025,"IU Indy",20.2000952834683,109,38.4945212005717,363,41.30538351596,7,18.7012987012987,199,48.8311688311688,223,32.4675324675325,135
2025,"Idaho",19.8210290827741,128,41.5212527964206,358,38.6577181208054,30,18.6105263157895,206,49.9368421052632,169,31.4526315789474,169
2025,"Idaho St.",21.0877373011801,72,50.5900461775269,153,28.322216521293,268,17.3600410888546,281,50.4365690806369,144,32.2033898305085,147
2025,"Illinois",20.0650759219089,115,46.4208242950108,283,33.5140997830803,115,16.7749796913079,306,56.5393988627132,9,26.6856214459789,337
2025,"Illinois Chicago",19.8697068403909,125,48.5807352256864,212,31.5495579339228,179,17.9029304029304,252,53.1135531135531,51,28.9835164835165,284
2025,"Illinois St.",16.9811320754717,294,44.0251572327044,335,38.9937106918239,26,17.9586563307494,250,46.2532299741602,301,35.7881136950904,42
2025,"Incarnate Word",15.5180961824492,337,52.3549826474963,90,32.1269211700545,160,19.1499755740107,167,54.323400097704,29,26.5266243282853,339
2025,"Indiana",18.5851820845542,206,55.9229803264964,21,25.4918375889494,323,17.7440347071584,261,50.7592190889371,126,31.4967462039046,166
2025,"Indiana St.",19.8395947657239,127,41.5365132967497,357,38.6238919375264,31,20.3355155482815,102,49.5908346972177,184,30.0736497545008,239
2025,"Iona",16.7159138877163,304,54.2845082313212,49,28.9995778809624,247,20.3672787979967,100,46.0767946577629,306,33.5559265442404,101
2025,"Iowa",13.8868479059515,357,50.6245407788391,151,35.4886113152094,75,15.4752851711027,337,53.384030418251,45,31.1406844106464,187
2025,"Iowa St.",21.078431372549,73,50.3016591251885,158,28.6199095022624,260,18.2546749777382,235,47.5512021371327,265,34.1941228851291,81
2025,"Jackson St.",22.2817133443163,30,50.9060955518946,136,26.8121911037891,307,17.5936883629191,271,47.7317554240631,259,34.6745562130178,68
2025,"Jacksonville",16.1064425770308,320,52.3809523809524,88,31.5126050420168,181,19.2433442316674,159,49.2293320878094,205,31.5273236805231,164
2025,"Jacksonville St.",19.599818099136,141,50.6593906321055,148,29.7407912687585,227,16.5044042651831,313,46.3606861381548,296,37.134909596662,22
2025,"James Madison",18.6721991701245,199,43.9834024896266,337,37.344398340249,47,19.0654205607477,173,51.214953271028,110,29.7196261682243,257
2025,"Kansas",13.9960238568588,355,56.779324055666,13,29.2246520874751,238,18.0664916885389,247,48.4689413823272,235,33.4645669291339,103
2025,"Kansas City",19.7046843177189,136,44.0936863543788,333,36.2016293279022,67,20.0490196078431,118,49.5098039215686,189,30.4411764705882,225
2025,"Kansas St.",15.875053487377,324,51.5190415062045,117,32.6059050064185,145,17.67522855899,265,53.9834566826295,33,28.3413147583805,301
2025,"Kennesaw St.",22.3529411764706,29,44.7963800904977,320,32.8506787330317,139,23.4684684684685,16,46.9369369369369,280,29.5945945945946,261
2025,"Kent St.",18.8804975566415,186,52.3322967569969,92,28.7872056863616,254,23.3160621761658,17,45.5958549222798,316,31.0880829015544,190
2025,"Kentucky",19.1119005328597,168,47.1047957371226,259,33.7833037300178,111,18.1322957198444,240,49.1828793774319,209,32.6848249027237,128
2025,"LIU",17.4384236453202,276,56.256157635468,19,26.3054187192118,316,25.4245511887433,4,45.6089277049976,314,28.9665211062591,285
2025,"LSU",18.4934405416843,211,49.7672450275074,178,31.7393144308083,171,17.7070063694268,262,52.7388535031847,61,29.5541401273885,262
2025,"La Salle",19.7971781305115,132,51.7636684303351,109,28.4391534391534,265,16.5494414563508,312,50.5585436491518,135,32.8920148944973,121
2025,"Lafayette",17.3732718894009,281,48.7557603686636,203,33.8709677419355,108,16.4199192462988,317,49.7981157469717,176,33.7819650067295,93
2025,"Lamar",17.6470588235294,265,51.8042511122096,105,30.548690064261,202,19.761075161772,136,49.1786958685913,210,31.0602289696366,195
2025,"Le Moyne",20.6209453197405,88,48.1000926784059,223,31.2789620018536,190,19.8198198198198,135,46.5192465192465,291,33.6609336609337,99
2025,"Lehigh",17.2646905876235,286,49.8179927197088,173,32.9173166926677,134,19.8714780029659,131,52.990608007909,53,27.1379139891251,327
2025,"Liberty",14.7505422993492,347,43.9913232104121,336,41.2581344902386,8,17.3891380169407,276,56.6018933731938,8,26.0089686098655,343
2025,"Lindenwood",21.5714982918497,53,54.2703757930698,51,24.1581259150805,343,19.4519317160827,149,49.685534591195,180,30.8625336927224,206
2025,"Lipscomb",18.2622687047466,225,43.6041834271923,339,38.1335478680611,37,13.330258302583,360,55.8118081180812,16,30.8579335793358,207
2025,"Little Rock",17.1455487517664,290,55.016486104569,36,27.8379651436646,290,22.4976167778837,31,42.8979980934223,349,34.604385128694,70
2025,"Long Beach St.",21.4068825910931,60,47.165991902834,258,31.4271255060729,185,19.5680916703394,145,48.0387836051124,250,32.3931247245483,136
2025,"Longwood",24.2792792792793,7,50.990990990991,133,24.7297297297297,338,19.0217391304348,177,50.5434782608696,138,30.4347826086957,226
2025,"Louisiana",19.1622532498796,162,49.2055849783341,189,31.6321617717862,178,23.7526652452026,13,50.4051172707889,146,25.8422174840085,344
2025,"Louisiana Monroe",19.7076612903226,135,50.8064516129032,141,29.4858870967742,233,14.2547660311958,354,48.9601386481802,220,36.7850953206239,29
2025,"Louisiana Tech",20.0096432015429,120,47.7338476374156,237,32.2565091610415,156,18.8960716061661,184,50.5221282943809,139,30.581800099453,217
2025,"Louisville",19.3862275449102,155,44.685628742515,323,35.9281437125749,71,16.3038839095177,321,49.5091762697396,190,34.1869398207426,82
2025,"Loyola Chicago",16.6738474795347,306,48.685911245153,208,34.6402412753124,92,19.7106690777577,139,47.1971066907776,273,33.0922242314647,116
2025,"Loyola MD",16.7313288069835,302,50.8244422890398,140,32.4442289039767,152,17.5219602404068,274,53.0744336569579,52,29.4036061026352,267
2025,"Loyola Marymount",17.2477064220184,288,49.7247706422018,180,33.0275229357798,129,18.3974932855864,226,52.1933751119069,80,29.4091316025067,266
2025,"Maine",16.5760869565217,310,54.8913043478261,38,28.5326086956522,264,17.1627906976744,289,53.1162790697674,50,29.7209302325581,256
2025,"Manhattan",19.0237226277372,174,46.6240875912409,275,34.3521897810219,100,15.7116451016636,332,49.815157116451,173,34.3807763401109,75
2025,"Marist",13.6937847397676,358,55.6846892369884,26,30.6215260232441,200,20.3722854188211,99,49.2244053774561,206,30.4033092037229,228
2025,"Marquette",15.3330705557745,343,48.0094599921167,227,36.6574694521088,60,18.0813439434129,244,50.7515473032714,128,31.1671087533156,186
2025,"Marshall",19.3868739205527,154,49.6545768566494,182,30.9585492227979,195,22.7070347284061,28,52.4487978628673,66,24.8441674087266,353
2025,"Maryland",18.7755102040816,192,51.2801484230056,124,29.9443413729128,222,16.9154228855721,300,53.9122568973315,35,29.1723202170963,276
2025,"Maryland Eastern Shore",20.6553540081919,87,48.8004681100059,198,30.5441778818022,203,20.7362534948742,77,52.2833178005592,77,26.9804287045666,330
2025,"Massachusetts",20.2047174009791,108,55.896751223854,22,23.8985313751669,347,20.9629314017895,71,47.4648487430763,267,31.5722198551342,162
2025,"McNeese",19.1434689507495,164,51.0492505353319,130,29.8072805139186,226,18.9733266230498,179,42.6774031202818,353,38.3492702566683,12
2025,"Memphis",20.5137614678899,94,51.5229357798165,115,27.9633027522936,284,19.7590361445783,137,47.710843373494,260,32.5301204819277,132
2025,"Mercer",16.5864332603939,309,50.8533916849015,139,32.5601750547046,147,18.8023450586265,191,42.8810720268007,351,38.3165829145729,13
2025,"Mercyhurst",20.4125950054289,99,47.6655808903366,240,31.9218241042345,164,19.8606271777003,132,49.079143852663,216,31.0602289696366,195
2025,"Merrimack",15.1892890120037,345,48.3841181902124,216,36.4265927977839,63,18.6320754716981,201,52.0754716981132,83,29.2924528301887,273
2025,"Miami FL",16.2598081952921,316,54.5771578029643,44,29.1630340017437,241,15.72,331,49.36,199,34.92,64
2025,"Miami OH",15.5207076799357,336,45.9991958182549,290,38.4800965018094,35,18.8486140724947,190,49.2963752665245,200,31.8550106609808,157
2025,"Michigan",18.9402480270575,182,49.379932356257,186,31.6798196166855,177,18.3319570602808,230,49.4632535094963,192,32.204789430223,146
2025,"Michigan St.",22.4117875145405,27,54.6723536254362,43,22.9158588600233,356,20.5497972059486,85,49.5718792248761,186,29.8783235691753,247
2025,"Middle Tennessee",17.7440347071584,260,51.8004338394794,106,30.4555314533623,209,18.9249222567748,181,52.9542425588627,56,28.1208351843625,309
2025,"Milwaukee",20.1304347826087,113,56.5217391304348,15,23.3478260869565,354,18.7040441176471,198,50.5514705882353,136,30.7444852941176,213
2025,"Minnesota",17.3094582185491,283,53.9026629935721,58,28.7878787878788,253,19.6772747646795,142,51.8153294486777,93,28.5073957866428,297
2025,"Mississippi",20.4554377699254,96,47.5068708284256,246,32.037691401649,161,21.588508660752,47,44.7824250105619,328,33.4600760456274,105
2025,"Mississippi St.",17.629179331307,268,50.6838905775076,147,31.6869300911854,176,19.1663261136085,165,43.5635472006539,344,37.2701266857376,21
2025,"Mississippi Valley St.",19.3951347797502,153,55.3583168967784,30,25.2465483234714,329,18.3989941324392,225,51.0477787091366,119,30.5532271584241,219
